02/07/2023 16:19:881, alarmId: 16, tagValue: 88.23196, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:19:883, alarmId: 17, tagValue: 88.23196, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:20:261, alarmId: 15, tagValue: 86, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:20:263, alarmId: 22, tagValue: 86, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:20:265, alarmId: 16, tagValue: 86, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:20:267, alarmId: 17, tagValue: 86, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:20:630, alarmId: 22, tagValue: 86, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:20:631, alarmId: 15, tagValue: 86, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:20:634, alarmId: 16, tagValue: 86, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:20:636, alarmId: 17, tagValue: 86, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:20:991, alarmId: 22, tagValue: 86, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:20:992, alarmId: 15, tagValue: 86, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:20:995, alarmId: 16, tagValue: 86, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:20:997, alarmId: 17, tagValue: 86, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:21:358, alarmId: 22, tagValue: 83.699524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:21:388, alarmId: 15, tagValue: 83.699524, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:21:391, alarmId: 16, tagValue: 83.699524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:21:393, alarmId: 17, tagValue: 83.699524, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:21:739, alarmId: 15, tagValue: 83.699524, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:21:742, alarmId: 16, tagValue: 83.699524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:21:743, alarmId: 22, tagValue: 83.699524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:21:746, alarmId: 17, tagValue: 83.699524, alarmType: HIGH, threshold: 1, priority: 1
